name,group
TCGA-E2-A10E-01A-21R-A10J-07,LumA
TCGA-D8-A1JB-01A-11R-A13Q-07,LumA
TCGA-AR-A5QN-01A-12R-A28M-07,LumA
TCGA-LL-A50Y-01A-11R-A266-07,LumA
TCGA-B6-A0I5-01A-11R-A034-07,LumA
TCGA-D8-A141-01A-11R-A115-07,LumA
TCGA-E2-A14Q-01A-11R-A12D-07,LumA
TCGA-B6-A0I8-01A-11R-A034-07,LumA
TCGA-AC-A3HN-01A-11R-A213-07,LumA
TCGA-A2-A04V-01A-21R-A034-07,LumA
TCGA-E9-A6HE-01A-11R-A31O-07,LumA
TCGA-JL-A3YX-01A-11R-A22U-07,LumA
TCGA-E9-A1RC-01A-11R-A157-07,LumA
TCGA-BH-A0HX-01A-21R-A056-07,LumA
TCGA-D8-A1JP-01A-11R-A13Q-07,LumA
TCGA-E9-A1QZ-01A-21R-A169-07,LumA
TCGA-E9-A1NG-01A-21R-A14M-07,LumA
TCGA-A2-A259-01A-11R-A16F-07,LumA
TCGA-D8-A27G-01A-11R-A16F-07,LumA
TCGA-AC-A6IX-01A-12R-A32P-07,LumA
TCGA-AC-A62Y-01A-11R-A29R-07,LumA
TCGA-BH-A1EY-01A-11R-A13Q-07,LumA
TCGA-BH-A0GY-01A-11R-A056-07,LumA
TCGA-AO-A0J9-01A-11R-A034-07,LumA
TCGA-BH-A18F-01A-11R-A12D-07,LumA
TCGA-A2-A1FV-01A-11R-A13Q-07,LumA
TCGA-A7-A426-01A-22R-A24H-07,LumA
TCGA-D8-A1XV-01A-11R-A14M-07,LumA
TCGA-BH-A0H6-01A-21R-A056-07,LumA
TCGA-E9-A1R0-01A-22R-A16F-07,LumA
TCGA-E9-A1RI-01A-11R-A169-07,LumA
TCGA-AC-A3W6-01A-12R-A22K-07,LumA
TCGA-A7-A3J0-01A-11R-A213-07,LumA
TCGA-D8-A73U-01A-11R-A33J-07,LumA
TCGA-A7-A3IY-01A-21R-A21T-07,LumA
TCGA-A8-A09B-01A-11R-A00Z-07,LumA
TCGA-OL-A5RV-01A-12R-A28M-07,LumA
TCGA-AQ-A1H3-01A-31R-A13Q-07,LumA
TCGA-E2-A15P-01A-11R-A115-07,LumA
TCGA-BH-A0BA-01A-11R-A056-07,LumA
TCGA-E9-A1R2-01A-11R-A14D-07,LumA
TCGA-E2-A1IF-01A-11R-A144-07,LumA
TCGA-EW-A1PA-01A-11R-A144-07,LumA
TCGA-E9-A24A-01A-11R-A169-07,LumA
TCGA-E2-A15J-01A-11R-A12P-07,LumA
TCGA-A1-A0SQ-01A-21R-A144-07,LumA
TCGA-A8-A09A-01A-11R-A00Z-07,LumA
TCGA-D8-A146-01A-31R-A115-07,LumA
TCGA-AC-A3W7-01A-11R-A22K-07,LumA
TCGA-C8-A12O-01A-11R-A115-07,LumA
TCGA-C8-A26Z-01A-11R-A16F-07,LumA
TCGA-AC-A2FM-01A-11R-A19W-07,LumA
TCGA-D8-A73W-01A-22R-A352-07,LumA
TCGA-E9-A5FK-01A-11R-A27Q-07,LumA
TCGA-W8-A86G-01A-21R-A36F-07,LumA
TCGA-A8-A09V-01A-11R-A034-07,LumA
TCGA-A1-A0SF-01A-11R-A144-07,LumA
TCGA-E2-A1IU-01A-11R-A14D-07,LumA
TCGA-A7-A3IZ-01A-11R-A213-07,LumA
TCGA-E2-A2P5-01A-11R-A19W-07,LumA
TCGA-EW-A6S9-01A-22R-A33J-07,LumA
TCGA-BH-A0DI-01A-21R-A12P-07,LumA
TCGA-E9-A2JT-01A-22R-A18M-07,LumA
TCGA-A2-A0YF-01A-21R-A109-07,LumA
TCGA-A8-A08C-01A-11R-A00Z-07,LumA
TCGA-3C-AALK-01A-11R-A41B-07,LumA
TCGA-E2-A1IN-01A-11R-A13Q-07,LumA
TCGA-D8-A1X8-01A-11R-A14M-07,LumA
TCGA-EW-A1P6-01A-11R-A144-07,LumA
TCGA-A2-A1G0-01A-11R-A13Q-07,LumA
TCGA-A8-A07G-01A-11R-A034-07,LumA
TCGA-BH-A5J0-01A-11R-A27Q-07,LumA
TCGA-BH-AB28-01A-31R-A41B-07,LumA
TCGA-BH-A28Q-01A-11R-A16F-07,LumA
TCGA-BH-A2L8-01A-11R-A18M-07,LumA
TCGA-LL-A740-01A-21R-A32P-07,LumA
TCGA-C8-A12Y-01A-11R-A12D-07,LumA
TCGA-D8-A27T-01A-11R-A16F-07,LumA
TCGA-A7-A425-01A-11R-A24H-07,LumA
TCGA-AC-A5XU-01A-11R-A28M-07,LumA
TCGA-EW-A1IZ-01A-11R-A13Q-07,LumA
TCGA-S3-A6ZH-01A-22R-A32P-07,LumA
TCGA-UL-AAZ6-01A-11R-A41B-07,LumA
TCGA-D8-A27K-01A-11R-A16F-07,LumA
TCGA-OL-A66L-01A-12R-A31O-07,LumA
TCGA-BH-A0B1-01A-12R-A056-07,LumA
TCGA-D8-A1JH-01A-11R-A13Q-07,LumA
TCGA-AC-A5XS-01A-11R-A29R-07,LumA
TCGA-A1-A0SG-01A-11R-A144-07,LumA
TCGA-A8-A07F-01A-11R-A00Z-07,LumA
TCGA-BH-A1FH-01A-12R-A13Q-07,LumA
TCGA-E9-A3X8-01A-31R-A22U-07,LumA
TCGA-A7-A13H-01A-11R-A22K-07,LumA
TCGA-LD-A66U-01A-11R-A31O-07,LumA
TCGA-E9-A22B-01A-11R-A157-07,LumA
TCGA-D8-A3Z5-01A-41R-A24H-07,LumA
TCGA-EW-A1P3-01A-11R-A144-07,LumA
TCGA-D8-A4Z1-01A-21R-A266-07,LumA
TCGA-A8-A0A1-01A-11R-A00Z-07,LumA
TCGA-AO-A12H-01A-11R-A115-07,LumA
TCGA-E2-A15S-01A-11R-A115-07,LumB
TCGA-C8-A12M-01A-11R-A115-07,LumB
TCGA-E9-A22D-01A-11R-A157-07,LumB
TCGA-A7-A2KD-01A-31R-A21T-07,LumB
TCGA-AN-A0FY-01A-11R-A034-07,LumB
TCGA-BH-A18L-01A-32R-A12D-07,LumB
TCGA-C8-A27A-01A-11R-A169-07,LumB
TCGA-A8-A06X-01A-21R-A00Z-07,LumB
TCGA-D8-A1X7-01A-11R-A14M-07,LumB
TCGA-A8-A06Q-01A-11R-A034-07,LumB
TCGA-E2-A56Z-01A-12R-A29R-07,LumB
TCGA-EW-A1OX-01A-11R-A144-07,LumB
TCGA-A8-A09W-01A-11R-A00Z-07,LumB
TCGA-EW-A1J6-01A-11R-A13Q-07,LumB
TCGA-C8-A12W-01A-11R-A115-07,LumB
TCGA-A8-A08F-01A-11R-A00Z-07,LumB
TCGA-A8-A079-01A-21R-A00Z-07,LumB
TCGA-A8-A08P-01A-11R-A00Z-07,LumB
TCGA-E9-A3HO-01A-11R-A213-07,LumB
TCGA-E2-A10C-01A-21R-A10J-07,LumB
TCGA-EW-A2FW-01A-11R-A17B-07,LumB
TCGA-E9-A22H-01A-11R-A157-07,LumB
TCGA-D8-A1Y3-01A-11R-A157-07,LumB
TCGA-C8-A1HM-01A-12R-A137-07,LumB
TCGA-EW-A1OZ-01A-11R-A144-07,LumB
TCGA-AN-A0XR-01A-11R-A109-07,LumB
TCGA-A8-A084-01A-21R-A00Z-07,LumB
TCGA-A8-A09Q-01A-11R-A00Z-07,LumB
TCGA-AN-A0AK-01A-21R-A00Z-07,LumB
TCGA-E2-A9RU-01A-11R-A41B-07,LumB
TCGA-BH-A0H0-01A-11R-A056-07,LumB
TCGA-C8-A1HN-01A-11R-A137-07,LumB
TCGA-A8-A06O-01A-11R-A00Z-07,LumB
TCGA-A7-A0CJ-01A-21R-A00Z-07,LumB
TCGA-A8-A06R-01A-11R-A00Z-07,LumB
TCGA-A1-A0SI-01A-11R-A144-07,LumB
TCGA-C8-A130-01A-31R-A115-07,LumB
TCGA-A2-A4S3-01A-21R-A266-07,LumB
TCGA-AO-A1KS-01A-11R-A13Q-07,LumB
TCGA-E9-A1RB-01A-11R-A157-07,LumB
TCGA-AO-A1KT-01A-11R-A13Q-07,LumB
TCGA-D8-A1XL-01A-11R-A14M-07,LumB
TCGA-D8-A1JD-01A-11R-A13Q-07,LumB
TCGA-C8-A8HQ-01A-11R-A36F-07,LumB
TCGA-A8-A08S-01A-11R-A034-07,LumB
TCGA-EW-A1OY-01A-11R-A144-07,LumB
TCGA-A2-A1G4-01A-11R-A13Q-07,LumB
TCGA-D8-A1XZ-01A-11R-A14M-07,LumB
TCGA-D8-A1JT-01A-31R-A13Q-07,LumB
TCGA-D8-A1XF-01A-11R-A14D-07,LumB
TCGA-A2-A0YG-01A-21R-A109-07,LumB
TCGA-D8-A1JE-01A-11R-A13Q-07,LumB
TCGA-A2-A0YT-01A-11R-A109-07,LumB
TCGA-A8-A08G-01A-11R-A00Z-07,LumB
TCGA-AO-A0J7-01A-11R-A034-07,LumB
TCGA-S3-AA17-01A-11R-A41B-07,LumB
TCGA-A8-A092-01A-11R-A00Z-07,LumB
TCGA-E9-A22E-01A-11R-A157-07,LumB
TCGA-BH-A0W3-01A-11R-A109-07,LumB
TCGA-EW-A1IY-01A-11R-A13Q-07,LumB
TCGA-E9-A1NA-01A-11R-A144-07,LumB
TCGA-AQ-A04H-01B-11R-A10J-07,LumB
TCGA-E9-A1NF-01A-11R-A14D-07,LumB
TCGA-A2-A1FW-01A-11R-A13Q-07,LumB
TCGA-C8-A12U-01A-11R-A115-07,LumB
TCGA-EW-A1PC-01B-11R-A21T-07,LumB
TCGA-5T-A9QA-01A-11R-A41B-07,LumB
TCGA-AN-A0AJ-01A-11R-A00Z-07,LumB
TCGA-A2-A04R-01A-41R-A109-07,LumB
TCGA-AR-A0TV-01A-21R-A084-07,LumB
TCGA-A8-A09R-01A-11R-A00Z-07,LumB
TCGA-E2-A1L7-01A-11R-A144-07,LumB
TCGA-BH-A42T-01A-11R-A24H-07,LumB
TCGA-C8-A26V-01A-11R-A16F-07,LumB
TCGA-AN-A0AM-01A-11R-A034-07,LumB
TCGA-D8-A1JI-01A-11R-A13Q-07,LumB
TCGA-EW-A1P0-01A-11R-A144-07,LumB
TCGA-AN-A03Y-01A-21R-A00Z-07,LumB
TCGA-D8-A27N-01A-11R-A16F-07,LumB
TCGA-A2-A25C-01A-11R-A169-07,LumB
TCGA-E9-A1R4-01A-21R-A14D-07,LumB
TCGA-A1-A0SN-01A-11R-A144-07,LumB
TCGA-A8-A07S-01A-11R-A034-07,LumB
TCGA-D8-A1J9-01A-11R-A13Q-07,LumB
TCGA-A8-A075-01A-11R-A084-07,LumB
TCGA-D8-A27R-01A-11R-A16F-07,LumB
TCGA-D8-A1Y1-01A-21R-A14M-07,LumB
TCGA-E9-A5UO-01A-11R-A28M-07,LumB
TCGA-BH-A204-01A-11R-A157-07,LumB
TCGA-A2-A04Y-01A-21R-A034-07,LumB
TCGA-A8-A09N-01A-11R-A00Z-07,LumB
TCGA-BH-A0HU-01A-11R-A034-07,LumB
TCGA-E9-A2JS-01A-11R-A180-07,LumB
TCGA-E9-A249-01A-11R-A169-07,LumB
TCGA-A2-A0D4-01A-11R-A00Z-07,LumB
TCGA-D8-A1X6-01A-11R-A14M-07,LumB
TCGA-A8-A07L-01A-11R-A00Z-07,LumB
TCGA-AC-A7VB-01A-11R-A352-07,LumB
TCGA-E9-A1N6-01A-11R-A144-07,LumB
TCGA-A8-A06Z-01A-11R-A00Z-07,LumB
